category_id,view_count,cart_count,purchase_count,view_to_cart,cart_to_purchase,purchase_rate
1487580011476025461,977,1668,717,1.707267144319345,0.42985611510791366,0.7338792221084954
1487580007592100809,4454,9651,3001,2.166816344858554,0.31095223292923013,0.6737763807813202
1487580009622143014,2138,6216,1429,2.9073900841908324,0.2298906048906049,0.6683816651075771
1487580010821714008,9524,16139,4841,1.6945611087778245,0.29995662680463475,0.5082948341033179
2055161088059638328,8442,11516,4251,1.3641317223406775,0.36913858978812086,0.5035536602700782
1487580009286598681,69864,203202,33862,2.908536585365854,0.16664206060963968,0.484684529943891
1487580011425693811,4622,6898,2209,1.4924275205538728,0.3202377500724848,0.47793163132842925
1487580010796548183,18284,29043,8610,1.58843797856049,0.29645697758496026,0.47090352220520676
1487580006509970331,13177,16418,6063,1.2459588677240647,0.36928980387379706,0.4601199058966381
1487580009311764506,28118,68032,12596,2.4195177466391637,0.18514816556914393,0.4479692723522299
